,index,Sentence,Polarity_Classification
1245,1245,The chapters are divided up well and you don't lose the line through out the story,Positiva
1246,1246,"The wife and child of a prominent scientist are murdered, and the scientist disappears",Neutra
1247,1247,"The two policewomen, Petra and Marijke, are among the most interesting characters, and their personal and professional relationship adds some color to the story",Positiva
1248,1248,"I don't really care for McDermid's other running characters, but I love the dynamics between Tony Hill and Carol Jordan",Positiva
1249,1249,The key has tons of powers,Neutra
1250,1250,The characters were interesting as well,Positiva
1251,1251,The book is about as confusing and boring as it sounds,Negativa
1252,1252,"Someone on the point of death is exactly what the sinister stranger Mister Monday wants, and he gives Arthur a key shaped like the minute hand of a clock",Neutra
1253,1253,"In this first book in the series, Keys to the Kingdom, we find Aurther Penhaligon, a seventh grader who recently moved to a new and strange home",Neutra
1254,1254,"One question I have is what happens after you fall asleep during the process of the ""Sleepy Plague""",Neutra
1255,1255,"I don't read many books in this type of genre, but Val McDermid seems as though her work should have a much greater following than it does",Positiva
1256,1256,Their power were so strong that the bad one can make people sick by using her eyes and the good one can cure them if she want,Neutra
1257,1257,"This mysterious novel is about a boy called Arthur Penhaligon who is not supposed to be a hero; he is in fact, supposed to die an early death",Neutra
1258,1258,Both make the story seem real and really adventurous,Positiva
1259,1259,"Angela is as sweet as an angel and , her twin sister, Diabla is the opposite",Neutra
1260,1260,"What could be more innocuous than a small key?  But, wait, the key seems to have a terrifying effect on the world as it brings with it a plague",Negativa
1261,1261,"All these places are mentioned by Mr Keay (and, of course, many I have not visited) and I found it interesting to read about how each has a context in Indian history and helps us to understand better this continent of enormous population, of refined culture, and of such diverse mixtures of race",Positiva
1262,1262,the day to day existance as a slave in,Neutra
1263,1263,"This vibrantly illustrated and informative guide offers fans up-to-the-minute reporting on the 1995-96 season, superstar and team histories, stats, and more",Positiva
1264,1264,I loved this book!  I read the whole thing in less than a week (which is really good time because of my hectic college schedual),Positiva
1265,1265,"On of the greatest scenes of action is when Arthur and Mister Monday are fighting, the descriptiveness was so vivid I thought I was watching them the whole time",Positiva
1266,1266,It also has a little bit of religion questioning,Neutra
1267,1267,"This is a thought-provoking look at the history of how wives are perceived(and yes, let's take our blinders off people, because in one way or another, pop culture affects how we define ourselves, and it sure as heck is affecting our children!)",Positiva
1268,1268,Book 1 is about a twelve year old boy named Arthur Penhaligon who has asthma,Neutra
1269,1269,"""Written slightly below the level of the Harry Potter books this series should still capture the attention and imagination of young readers attracted to these types of stories",Positiva
1270,1270,"It is mostly about the discoverers, but also reveals a lot about what they discovered",Neutra
1271,1271,"Book: My Darling My Hamburger&lt;br&gt;Author: Paul Zindel&lt;br&gt;Number of Pages: 122&lt;br&gt;Publisher and Publication Date: 1969 Harper and Row publishers&lt;br&gt;ISBN: 0-553-27324-8&lt;br&gt;Price (if available) and whether it is paperback or hardback: Hardback 	   Imagine if you had parents that never trusted, or that never would believe you",Neutra
1272,1272,Everything in this book is based on what is happening in real life,Positiva
1273,1273,"He chose to go home which, no offense to anyone, is a little wimpy!&lt;br&gt;On Athur Phenaligon's first day at his new school, things don't go quite as he had expected",Neutra
1274,1274,"Give Michael Marshall Smith, (sometimes without the Smith), a chance with this book--it is a guaranteed good read!",Positiva
1275,1275,A serial killer is targeting psychologists in Germany and Holland,Negativa
1276,1276,"Okay, it's about these two twins, Angela and Diabola",Neutra
1277,1277,THE INTRUDERS is further weakened by the lack of a truly likable character,Negativa
1278,1278,Hill's murder investigation eventually brings him to Berlin,Neutra
1279,1279,WINSTON'S WAR is the first in a series of novels about Churchill's wartime leadership,Neutra
1280,1280,the end really confused me i thought liz would end up with sean and maggie would end up with dennis,Negativa
1281,1281,Michael Marshall has a knack that few authors possess,Positiva
1282,1282,Don't miss it,Positiva
1283,1283,"Given the title and the cover photo, I expected a more hostile discussion of marriage",Neutra
1284,1284,I have no idea if it was only my book with this problem,Negativa
1285,1285,"""  McDermid's skill as a writer of fast-paced and well-crafted thrillers makes this new novel a ""must-read"" for fans of this genre",Positiva
1286,1286,Mister Monday is one of the best books I have read in a long time,Positiva
1287,1287,The people that wouldn't like this would be boys,Negativa
1288,1288,"So I'm very happy to see such a rare, daring feat like Mister Monday in print",Positiva
1289,1289,"Unlike other such authors, who place their heroes in a medieval realm of magical swords, horse-back riding and dragons, Nix follows the example of writers such as Philip Pullman, Susanna Clarke and (to a lesser degree) J",Neutra
1290,1290,I realy enjoed this book,Positiva
1291,1291,I also like this book because it was funny and it was about  something that doesn't happen everyday,Positiva
1292,1292,Val McDermid has once again produced an exciting and entertaining thriller,Positiva
1293,1293,"When a disease breaks out, he finds that it is spread by the Fetchers",Neutra
1294,1294,I find myself disagreeing whole-heartedly with the negative reviews of Anne Kingston's The Meaning of Wife,Neutra
1295,1295,The story starts off on a Monday and it is Arthur Penhaligon's first day of school,Neutra
1296,1296,"I personally love fantasy books, and Garth nix can draw people like me into his writing",Positiva
1297,1297,"Wonderful, detailed illustration - if you can't find the plant by these pictures, you're not trying",Positiva
1298,1298,"As Gellner rhetorically asks, concerning the Holy Grail of ""adjustment,"" ""[I]s adaptation, adjustment to any regime, including a tyrannical one, a sign of mental health?""  The Soviets, hardly orthodox Freudians, famously answered ""Yes!""",Neutra
1299,1299,"because the Will tricked Mister Monday into giving the key to Arthur, Noon",Neutra
1300,1300,"This was due to a sadistic teacher who forced him to run a cross-country course, resulting in a near death experience, during which he encountered the unlikely duo of Sneezer and Mister Monday",Negativa
1301,1301,"Angela and Diabola is about two sisters, one very angelic, and one very, very diabolic",Neutra
1302,1302,"The writing is good, but",Positiva
1303,1303,"And Guterson knows from the  start what his protagonist learns in painful increments: that ""a neat,  uncomplicated end"" doesn't exist on either side of the mountains",Neutra
1304,1304,I do reccomend this book to those who:,Positiva
1305,1305,"While Garth Nix's fictional characters often have magical powers he, too, has a power - the power to create fantasy tales that have earned him a host of young fans",Positiva
1306,1306,"Highly recommended, especially for the younger set, and any adults who enjoy a little Through The Looking Glass style whimsey",Positiva
1307,1307,"I must admit, I was a little weary of The Intruders when I first saw it: a cheesy front cover, with an inside flap that promised only what any other mystery novel could offer",Negativa
1308,1308,"For example, when Arthur is in an elevator with the ""Will"" and Suzy Turquoise Blue, (They are going to the 379th floor, so they have the time) Garth Nix explained everything about the plague Arthur wants to cure",Neutra
1309,1309,"Marshall makes you read through to the end but you'll be scratching your head over many of his plot choices, and I can't make up my mind whether the story is actually crazy stupid, or maybe too smart for a moron like myself",Neutra
1310,1310,"Mister Monday is a fantasy novel to the extreme, with many of the cliches that go along with the distinction",Neutra
1311,1311,Not a bad little page-turner,Positiva
1312,1312,This is a must read for any Indian history buff,Positiva
1313,1313,"The character development is very good for the supporting characters like Suzy Blue and the Will, but not so good for Arthur himself",Positiva
1314,1314,Noon was about to fight Arthur with his Flame Sword,Neutra
1315,1315,"It was indeed, promising, as described before by others",Positiva
1316,1316,"Also, Nix sprinkles little hints and clues to the next books throughout the text, so read carefully!",Neutra
1317,1317,"The crucial strategic position occupied by Freudianism in the social and intellectual history of mankind, makes it possible for us to learn a vast amount from it about, on the one hand, the general anatomy of belief systems and, on the other, the special conditions prevalent in our age",Neutra
1318,1318,"Among those are the army of doglike and winged creatures, all dressed in attire befitting a civilization one hundred and fifty years ago",Neutra
1319,1319,"It also offers a different version of the afterlife, as in it doesn't exist",Neutra
1320,1320,I really liked this book and I read it all in one night,Positiva
1321,1321,"The writing also starts to improve with this book and the secondary protagonists, two female, European police officers who develop a long-term relationship with each other, are the best of any of the books",Positiva
1322,1322,"What Marshall does, however, is not only create a chilling tale that will keep you awake at night, but he also provides a possible answer to a question that has puzzled individuals for hundreds of years: What, precisely, makes us what, and who, we are?",Neutra
1323,1323,"She spends a great deal of time focusing on the upper classes, whether royalty, celebrities, politicians or CEOs",Neutra
1324,1324,"Poirot's last case takeS place at a small hotel called Styles, out In the countryside of England not too far away from London among people from the upper middle-class",Neutra
1325,1325,"It's a superb read, really gripping from the first page through to the end",Positiva
1326,1326,This book had a good story plot,Positiva
1327,1327,"Marshall Smith's usual themes, concerns and metaphors are present but have been refined to the point of grand eloquence and this time around have been coupled with a use of imagery which puts this on a par with so-called literary fiction: architecture becomes symbolic of the human psyche and old unrepaired radios haunt living spaces like the regrets that we all carry with us",Positiva
1328,1328,Blah!  Way too strange and confusing!,Negativa
1329,1329,"With this strange weapon, he enters into a house only he can see to save his world from a pandemic",Neutra
1330,1330,The reader needs something familiar to help them relate to the story and characters,Negativa
1331,1331,"McDermid relies a bit too much on coincidental/convenient plot developments late in the book; as other reviewers have mentioned, the bad guys find out what Tony and Carol are really up to purely by chance, due to a careless mistake that neither Tony or Carol would otherwise make",Negativa
1332,1332,"Then they appeared outside laughing, they holded the Atlas up in the air",Neutra
1333,1333,"The children's novel ""keys of the Kingdom Mister Monday"" is a hardcore mix beetween mystery and science fiction",Neutra
1334,1334,"Arthur is afterwards harassed and pursued by guys in bowler hats named Fetchers - imaginary fellows that spread a deadly plague, led by a guy with a sword of fire",Neutra
1335,1335,She's not a great writer but she's a fabulous storyteller and her Tony Hill/Carol Jordan mysteries are the best of the bunch,Positiva
1336,1336,This book along with Grim Tuesday will hook readers on this series,Positiva
1337,1337,Mister Monday is an interesting Fantasy novel that draws readers in from the very beginning,Positiva
1338,1338,What can I say that has not been said before? McDermid's psychological mysteries are absolutely brilliant,Neutra
1339,1339,"Although I personally didn't enjoy it much, it is a well written book,  which some people enjoyed a lot",Neutra
1340,1340,It has too few words and virtually no plot,Negativa
1341,1341,"Great book, check it out ;",Positiva
1342,1342,"As Diabola becomes meaner, she develops powers",Negativa
1343,1343,"In a book subtitled, ""The Life and World of Al Capone"", one would suspect an in depth look at the famous Chicagoan",Neutra
1344,1344,The thing I didn't like about this book is that Arthur didn't not seem like his age,Neutra
1345,1345,"It was full of action and twists and turns, very satisfying",Positiva
1346,1346,"The fast and intense plot makes the book absolutely captivating, as Arthur finds out just how deep his adventure goes",Positiva
1347,1347,"Sean, like any normal teenager, is as horny as they come and is continually pressuring Liz to have sex",Neutra
1348,1348,"it starts out when hes at school and is about to do a croos country run, but he has asthma",Neutra
1349,1349,The only thing they have in common is they both  love to draw,Positiva
1350,1350,"If you'd like to know more about the history of the Young Adult novel, this is a good book to pick up",Positiva
1351,1351,Soon Arthur is besieged by a Mister Monday and a band of vengeance seekers with blood-stained wings,Neutra
1352,1352,"Although I liked the concept of this book, I found Arthur's overall journey to be a bit too contrived and that he is led where he goes simply because the author placed him on that path and not because it was the pull of the character leading us on his story",Neutra
1353,1353,I first stumbled across Michael Marshall in one of those gift shops you find in bigger hotels,Neutra
1354,1354,"Aurther, Suzy Blue{a friend he makes on the way} and the Will now will go through many treacherous tasks to defeat Monday- the Will so that Aurther can claim the key, therefore the first part of the Will is done, Aurther to find a cure to thing strange plauge, and Suzy to help them all",Neutra
1355,1355,"However, I did feel one particular scene might be rather nightmare-inducing for the youngest readers - so recommend this for the ages of 12 and above",Positiva
1356,1356,Just don't expect it to have too many insights to offer today,Negativa
1357,1357,It keeps you on the edge of your seat,Positiva
1358,1358,"This is a well-written, researched, and balanced look at what marriage means now, not just wife",Positiva
1359,1359,"At first I was amused an entertained by Angela and Diabola the novel by Lynne Reid Banks, but as it progressed and became exceedingly darker, I read the jacket to  find that this book was recommended for ages 9-12",Neutra
1360,1360,"I  figure the reason I'm paying to read an author's book is because he or she  is much cleverer than I and will say things that I haven't already thought  or write things that aren't cliches and because of this, I am increasingly  saddened by Gregory MacDonald's descent into mediocrity",Negativa
1361,1361,"Suzy is an excellent character, a good partner/guide for Arthur and the best friend he could have in this world",Positiva
1362,1362,"He eventually finds his way into a bizarre realm known as the House, which turns out to be, essentially, the ""Command and Control"" center for the rest of the universe",Neutra
1363,1363,Angela and Diabola,Neutra
1364,1364,And it was a pretty good read,Positiva
1365,1365,I read this book in high school and loved it,Positiva
1366,1366,"Unknowingly to Arthur, the key is what saves him from death, and regretably, seals his fate to embarking on a quest to save another dimension from the ruins of the ""Days"", although this is what saves his life, he soon begins to regret ever becoming the heir to first key, and so begins the start of the series of The Keys to the Kingdom",Neutra
1367,1367,"You will find yourself captivated by each letter in this book, you will see that you are swept away in the pages but don't want to come out! Mister Monday will do anything to get the key back (you will have to read to see if Arthur makes it through the book alive)!",Neutra
1368,1368,"They show the 3 bugs currently under discussion (small, smaller, smallest, for example) in juxtaposition which makes it easy to talk about the concepts",Neutra
1369,1369,The book really held my interest throughout the whole story,Positiva
1370,1370,"The Meaning of Wife, which is by no means a quick or light read, is well written, engaging, thought provoking and entertaining",Positiva
1371,1371,"As opposed to many writers in the serial-killer/police procedural genre, Val McDermid consistently paints vivid, if disturbing, psychological portraits of the diseased mind responsible for the crimes committed in her novels",Negativa
1372,1372,There was both a good and dark side to Al Capone,Neutra
1373,1373,"Unfortunately, McDermid resorts to a pat ending, which strains believability",Neutra
1374,1374,'Turbulent Priests' is fresh and funny,Positiva
1375,1375,You will never get back the hours you waste on this book,Negativa
1376,1376,"I have to say, I haven't read anything yet by Garth Nix that I didn't enjoy, but Mister Monday is by far my favorite",Positiva
1377,1377,The whole plot is very interesting and loaded with symbolism,Positiva
1378,1378,"But one thing about Poirot books, and this one is no exception, it can certatinly be read and enjoyed again",Positiva
1379,1379,"These two men spend the rest of the book chasing Arthur through a sort of Victorian workers' hell, trying to get him to return the Key (the minute hand) to Mr",Neutra
1380,1380,This book was written by Stuart J,Neutra
1381,1381,"The book also discusses wifely history, and of great concern to me these days, what women and men are doing about The Name Problem",Neutra
1382,1382,"Garth Nix has become my new favorite writer, and my discovery started with Mister Monday, the first in the Keys to the Kingdom series",Positiva
1383,1383,One thing that I really like about it is that the beginning jumps right into the story,Positiva
1384,1384,"I like books with drama and stories that seem true, so I really liked this book",Positiva
1385,1385,"But no matter what Angela loves  Diabola, even when Diabola trys to kill her",Negativa
1386,1386,Mister Monday is from the genre fantasy,Neutra
1387,1387,"1) Great world creation in the House and the denizens of the House, their purpose, their origins, etc",Positiva
1388,1388,"It is a great book for children, to help them start on a path to learning size relationships",Positiva
1389,1389,"Nix's prose is by no means a thing of wonder on its own, but his characters, his humor and his whimscal worldbuilding make up for this fact",Positiva
1390,1390,with Arthur which meant that they can't take it,Neutra
1391,1391,He has a feeling that the answer to curing the sick people is to go in there,Negativa
1392,1392,"The novel creeps along at a good pace, and the whole time there lingers the mixing tastes of a crime novel, a psychological thriller, and speculative fiction",Neutra
1393,1393,I love Garth Nix's books but I did find Mr,Positiva
1394,1394,"How convoluted, Salvador Dali thinking processed can you get? The real time part of this book is good and you become attached to the characters, but the minute you go to his otherworld it is so convuluted, out of touch it just can't come together",Positiva
1395,1395,"On the plus side, McDermid decides to branch out from northern England and take the reader into continental Europe, particularly Germany, where Carol Jordan has gone as an undercover operative to investigate a drug dealer/slave trader",Neutra
1396,1396,A very interesting read for both married and unmarried individuals,Positiva
1397,1397,"However, some of the stories could have been left out",Negativa
1398,1398,"Arthur is a likable kid, with an unusual problem for fantasy heroes (namely, asthma)",Positiva
1399,1399,"Kudos to McDermid for trying something different instead of just writing variations on a theme, but the theme is one she does really well and this effort is a bit disappointing",Neutra
1400,1400,"Or when Arthur first went in to Mister Monday's dayroom to fight him, thought there wasn't much to it, I knew exactly what it looked like so as the said where they were I understood it like it was my own home",Neutra
1401,1401,It's a wonderful blend of desert culture and how-tos,Neutra
1402,1402,"But what he finds when he does is a another world, calle the House, which was created by the Great Architect- the creator of all things",Neutra
1403,1403,The first fragment was fused inside a solid crystal and then placed inside an unbreakable glass box which was locked inside an indestructible cage,Neutra
1404,1404,I would also recommend this book as a book club selection because I can definitely see women talking about this in depth - from the heart,Positiva
1405,1405,"The author seems to have tried out several different settings (Victorian policemen and a sort of Bob Cratchit universe, along with dinosaurs, good and bad angels, and a really stinky and terrifying Roman bathhouse), then didn't want to discard anything",Negativa
1406,1406,The story of Al Capone is brilliantly laid out in an easy to follow format that takes the reader through Capone's life and motivations,Positiva
1407,1407,Even a plot synopsis makes this apparent,Positiva
1408,1408,Very good characters with competent development and well thought out roles within the story,Positiva
1409,1409,I found this a good book from a good author,Positiva
1410,1410,This is a great opening for chess improvisors and tacticians  out here in sub-master land that like to mix it up,Positiva
1411,1411,the story is about arthur penhaligon who is having a tough time,Neutra
1412,1412,"I was hooked!!&lt;br&gt;Garth Nix is a awesome writer and though the book is a little babyish - its definetly worth a read!&lt;br&gt;I thought the whole minute - hand - is - a - key part was a real good idea plus the names are so fun!&lt;br&gt;The only thing I didn't like was that Arthur doesen't take his rightful place as ""Monday""",Positiva
1413,1413,"Arthur Penhaligon was a believable hero who after strange creatures called Fetchers bring a sleeply plague to his town, with his newly acquired key, Arthur must venture into the mysterious House that only he can see to save his town",Positiva
1414,1414,"As a result, he ends up in the hospital regularly",Neutra
1415,1415,"But why?  Why?  Why?  She's like Patty McCormack in THE BAD SEED, but why?  Author Marshall has a new theory about why some kids hit the ground running, while others just go to the devil",Neutra
1416,1416,"I enjoyed the story, but I still don't think its right for pre-teens",Neutra
1417,1417,"Already a huge fan of Garth Nix, via Sabriel &amp; co",Positiva
1418,1418,"Throughout the story Arthur, even though given one of the keys to the universe, remains little more than a boy, a seventh grade boy",Neutra
1419,1419,I think it was awesome and everyone should read it,Positiva
1420,1420,Monday are intriguing concepts,Neutra
1421,1421,"Arthur's only hope, if he is to survive and stop the plague in his own world, is to obtain the rest of the Key from Mister Monday and accept his status as Heir, however little he wants it",Neutra
1422,1422,"Marshall throws in a bit of the supernatural and even SciFi, but the character of Jack and his determined progress keep this tale grounded firmly on the personal issues",Neutra
1423,1423,"It was a wonderful book, that will capture you from the beginning",Positiva
1424,1424,I already recommened this book to a colleague who is several years younger and would recommend it to all young women and men,Positiva
1425,1425,"He didn't know how to handle situations very well, but it always worked out for him",Neutra
1426,1426,The book I read was very interesting,Positiva
1427,1427,"Two of Nicky's friends come by to visit Mog and the kittens, wishing that they themselves had a kitten",Neutra
1428,1428,I recommend it as a glimpse into the America that once was,Positiva
1429,1429,This is a dark side of the moon kind of book it is full of suspense and you never what will happen next,Positiva
1430,1430,"In this book, Ernest Gellner uses the psychoanalytic movement as a ""case study"" to explore the general human tendency to create delusional ideological systems which serve various political, social, and psychological needs",Negativa
1431,1431,"I've read all of the major bios on ""Big Al"" and this is by far the best",Positiva
1432,1432,gave a plague called the sleepy plague,Neutra
1433,1433,"Anyway, Agatha Christie wrote one of the best Poirot novels ever",Positiva
1434,1434,"Lewis, is a meticulous, informative and enjoyable resource for study and general reference",Positiva
1435,1435,"Non male... Un film confezionato piuttosto bene, una bella interpretazione sia quella di Verdone sia quella della Buy, una commedia divertente e a tratti perfino esilarante.",Positiva
1436,1436,"Grandissimi i tre attori protagonisti, azzeccati anche gli scagnozzi dell'Indio (tra cui si annovera il maestro d'armi Benito Stefanelli).",Positiva
1437,1437,"Si parte da un soggetto interessante... se sviluppato a dovere... Ci ritroviamo invece una trama traballante, dei personaggi ridicoli e un film senza mordente che fa acqua da tutte le parti..   Davvero un peccato sprecare la suggestiva colonna sonora di Ennio Morricone così..  Da fan di Argento non mi va di infierire soffermandomi sulla regia televisiva, il doppiaggio da telenovela e sulla ""recitazione"" di Asia e di tutto il cast in generale... Peggio che sparare sulla Croce Rossa..",Negativa
1438,1438,Su tutto al 100%.,Positiva
1439,1439,"belle emozioni, ridicolo fiorello lo definirei di più un bel documentario piuttosto che un bel film..del film vero e proprio ha molto poco, ma le emozioni e le immagini che ti offre non te le offre il miglior film.",Positiva
1440,1440,quando la forma oscura i contenuti Il ritorno e' il tipico film che mai inizia e mai finisce.,Negativa
1441,1441,belli i dialoghi,Positiva
1442,1442,mi  e piaciuto il film mi e piaciuto anche se non regge il confronto con i suoi predecessori gli attori sono un po scadenti ma la storia porta con se un grande carisma che coinvolge la regia mi e piaciuta anche se metterei meno personaggi digitali .,Positiva
1443,1443,"E' un film lento, introspettivo, asciutto e a volte anche irritante.",Negativa
1444,1444,Il mio miglior nemico è nient'altro che un film carente e una iniziativa commerciale.,Negativa
1445,1445,Ovviamente splendido.,Positiva
1446,1446,"M olto bello, da vedere!",Positiva
1447,1447,"Mi sono piaciuti gli interventi del domenicano, poi il resto è molto leggero!",Neutra
1448,1448,"In passato, già altri registi (tra cui anche Spielberg) avevano tentato di portare sul grande schermo la storia, non riuscendo però nell'intento.",Neutra
1449,1449,evoluti in cosa?,Neutra
1450,1450,"Nomi dei protagonisti differenti apparte, ci sono molti dettagli che sono stati tralasciati e che lo rendono diverso.",Neutra
1451,1451,"peter weller, nel ruolo del protagonista cibernetico, è veramente in parte, nancy allen, la poliziotta non corrotta che affianca robocop nella sua crociata contro il crimine, è maschia quanto serve, mentre ronny cox, il tenente buono di ""beverly hills cop i & ii"", è un cattivo perfetto.",Positiva
1452,1452,"Bene, la sensazione che ho avuto alla fine di questo presunto capolavoro è questa.",Neutra
1453,1453,"Bello Vorrei rispondere ai tanti ke hanno snobbato qst telefilm,a partire dagli attori ecc..io seguo disretto dalla1puntata quando recitava il commissario scalise!!",Positiva
1454,1454,"Quando il burattinaio scopre di essere un burattino... Dico subito che il finale ""tarallucci e vino e volemose bene"" non mi ha convinto molto, come già hanno sottolineato altri prima di me... non che sia per forza allergico all'happy end, ma in un film così ""cupo"" come ""Il tredicesimo piano"" il lieto fine stona parecchio, anche se in fondo ci può stare e lo si può perdonare seguendo la logica della storia, vedendo lo scambio dell'utente Vincent D'Onofrio (al solito bravissimo) con il suo ""avatar"" al momento della morte.",Neutra
1455,1455,"attori simpaticissimi, poi, scusate, ma quando c'è il mitico the rock, non può che esser un film eccezionale..ottima la mafia russa e i gangsters rapper.. grande travolta e vaughn..guardatelo, merita",Positiva
1456,1456,"Rivista con occhi più attenti,fa un po'sorridere la scena in cui il protagonista viene tenuto prigioniero nel suo garage, anche perchè avrebbe potuto fuggire passando a fianco dell'auto, che in quello stretto ambiente, non si sarebbe potuta muovere di lato.Molto ben caratterizzati i protagonisti, dal saggio indiano, al violento energumeno che alla fine aiuterà la polizia, oltre che al poliziotto protagonista.",Neutra
1457,1457,"La trama risulta poi scontatissima e per niente originale visto che è la solita storia della  vittima designata che grazie al ""cuore"" si dimostra poi in grado di ottenere risultati inaspettati, proprio come in tutti film stile Rocky.",Negativa
1458,1458,?,Neutra
1459,1459,ma siete sani???,Neutra
1460,1460,"hanno fatto una ricostruzione eccezionale per questo film!niente effeti speciali, horror di altri tempi ,un capolavoro da guardare assolutamente",Positiva
1461,1461,"Si possono dare molti significati al film, uno su tutti: mai giudicare una persona superficialmente senza conoscerla!",Neutra
1462,1462,"a me è piaciuto di piu' il 3, poi il 2 e poi l'1.",Neutra
1463,1463,"vidi al cinema akira era ,credo,il 1991 quando fu distribuito in italia!!",Neutra
1464,1464,Per i fans della bella milla .,Positiva
1465,1465,"Non si può dare un voto più alto di quello che si pensa che un film meriti solo per ""alzare la media"", così come non è/sarebbe corretto il contrario, dare un 1 per abbassarla.",Neutra
1466,1466,"soporifero Ecco un altro attore che si cimenta con la regia,risultato:un film troppo lento,una trama decisamente banale,unica nota positiva per Gerard Depardieu e James Caan...",Negativa
1467,1467,"Ma le migliori intenzioni non bastano al figlio, che anima una brutta copia delle opere del padre, banalizzandone il relativismo morale, trascurando le qualità caratteriali dei protagonisti...però tutto sommato è vedibile...",Negativa
1468,1468,"I cartoni animati di Spider-woman differivano dalle avventure a fumetti (Jessica Drew era, infatti, la direttrice di un giornale e non una cacciatrice di taglie, ed era accompagnata dal nipotino Billy e dal giornalista Jeff, che le faceva inutilmente la corte), ma visto che la Marvel non si è mai sbottonata con le sue supereroine anche questo compromesso era accettabile.",Neutra
1469,1469,Bello.,Positiva
1470,1470,il finale mi è piaciuto molto e gli attori sono stati spettacolari!,Positiva
1471,1471,La strega invece è una presenza un pò troppo inquietante (l'uomo dipinto!?!,Neutra
1472,1472,"questo telefilm, anche se trasmesso in tarda serata, merita di stare svegli.",Positiva
1473,1473,"Bello Un bel film se non si conta la prima mezzora che tende a essere noiosa, ma da dopo l'incendio la trama si fa interessante e veloce, simpatico il medico legale!",Positiva
1474,1474,Da vedere lo consiglio a tutti.,Positiva
1475,1475,"Meritata appieno l'eco che continua ad avere questa opera prima, speriamo che i due amici, autori, protagonisti e registi del film non si lascino contaminare dal difficile mondo in cui si sono appena affacciati e che possano regalarci ancora emozioni vere, intense e fresche come queste.",Neutra
1476,1476,"se questo film vi è piaciuto, siete commessi, altrimenti siete clienti.",Neutra
1477,1477,Nussuno le rintraccia solitamente campeggiando la possibile eredità nella parola.,Neutra
1478,1478,Federica,Neutra
1479,1479,Solita tragedia.,Negativa
1480,1480,)  Guardatelo e riguardatelo!!,Positiva
1481,1481,"C'è chi ci legge la capacità di un uomo di tener fede ai propri valori, al proprio cuore.",Neutra
1482,1482,"La regia poi è molto buona, e come ho già detto, è più virtuosa che nel primo episodio (e c'era da aspettarselo!",Positiva
1483,1483,"Un video musicale in versione lungometraggio Ragazzi, 7.5 a questo film?!",Positiva
1484,1484,"un uomo (il grandissimo Bruce Willis) di 40 anni crede di avere tutto dalla vita; fascino, soldi, potere, donne.",Positiva
1485,1485,bel film...premio meritato!,Positiva
1486,1486,Come al solito i fratelli coen non deludono mai!!,Neutra
1487,1487,Io l'ho trovato estremamente noioso.,Negativa
1488,1488,"questo film appassiona lo spettatore perchè non è pesante ma neanche uno di quei soliti film stupidi e scontati, anzi ci sono un sacco di svolte nella storia tanto che non riesci bene a comprendere quello che accadrà dopo; film avvincente da un finale inaspettato.certamente, forse si costruisce intorno all'evocazione delle donne amate e perdute del protagonista fino all'agnizione finale, che svelerà alla sua bambina e allo spettatore quale delle tre fanciulle è quella della (sua) vita.",Positiva
1489,1489,"soprattutto da quando ce dlaudia pandolfi,mi piace molto xke li dentro è come se fossero una grande famiglia,ed è propio questo ke mi ha colpito.poi se era cosi mediocre come dicono in tanti non penso ke ogni anno avrebbero riproposto altre serie!",Positiva
1490,1490,I sentimenti provati dai personaggi non sono credibili.,Neutra
1491,1491,"la regia e lo script sono ancora grezzi, ed i personaggi di jay & silent bob sono appena accennati (risultando magari un po' inutili).",Negativa
1492,1492,Due o tre momenti di buon cinema.,Positiva
1493,1493,La suspence non è morta:tremendamente Thriller!!!!,Positiva
1494,1494,Il suo personaggio non piace molto.,Neutra
1495,1495,"Grandioso trama superba computer grafica ke si avvicina sempre di + alla realtà rendono questo corto imperdibile ma secondo me il corto ke merita veramente è il secondo rinascimento: l'uomo ke dominava, l'avvento delle macchine, l'oscuramento del cielo, la guerra finale dell' umanità contro le macchine.",Positiva
1496,1496,"Due scene in particolare sono particolarmente significative secondo me: il monologo in cui Edward Norton prima se la prende con tutti poi capisce che la causa di tutti i suoi guai è lui stesso,e la scena finale in cui il padre accompagna il protagonista in carcere e si compie un viaggio metaforico in cui si vede come sarebbero potute andare le cose, per poi scoprire che in realtà era solo un sogno.",Neutra
1497,1497,"Eccezionale stallone Bellissimo, stupendo.",Positiva
1498,1498,"Non lascia traccia... Appena visto, purtroppo.",Negativa
1499,1499,"Grande M'è piaciuto una marea, con scene d'azione da capogiro specialmente nella prima parte.",Positiva
1500,1500,Unica nota dolente è la Kim che purtroppo risulta sempre una attrice inespressiva.,Negativa
1501,1501,risparmiabile.,Negativa
1502,1502,"Gli attori sono eccezionali (eccezionali va scritto con una zeta, forse avete visto troppi film di Abatantuono).",Positiva
1503,1503,Ci sono scene veramente emozionanti.,Positiva
1504,1504,"è scontato, non è intrigante,è noioso!!",Negativa
1505,1505,Autobiografico!,Neutra
1506,1506,Voto 7,Neutra
1507,1507,mi aspettavo altro!,Negativa
1508,1508,10 non basta...ma nemmeno 100 basterebbe!,Positiva
1509,1509,Mah.. Leggendo la recensione sembrava un capolavoro.,Negativa
1510,1510,"E' evidente l'abilita' del regista nel riempire la storia di aspetti misteriosi, al punto tale da disorientare il pubblico.",Positiva
