,level_0,Sentence,Polarity_Classification
720,2999,"Non consiglio a nessuno questa struttura... Polvere ovunque, bagno sporco, odore sgradevole nella camera...",Negativa
721,3277,lampadine insufficienti e di bassa tensione Materasso sottile spazio angusto,Negativa
722,1293,Ottimo hotel in centro a Bologna.,Positiva
723,33,Colazione abbondante e camere spaziose.,Positiva
724,152,per quanto mi riguarda ottima posizione per lo stadio san paolo staff disponibile e professionale.,Positiva
725,4599,Bella camera spaziosa ed accogliente.,Positiva
726,827,"Colazione abbondante, camera ampia e silenziosa.",Positiva
727,7124,"colazione ottima, pulitissimo, comodo per muoversi con metropolitana.",Positiva
728,5511,Il letto molto comodo,Positiva
729,2308,la card della stanza ha smesso di funzionare la prima notte a mezzanotte.,Negativa
730,7390,Considerando il traffico di Napoli occorre mettere in conto una certa spesa di taxi  sebbene l'hotel abbia un proprio servizio navetta,Negativa
731,5869,"La posizione dell'Hotel, in centro e a 5 minuti dalla stazione.",Positiva
732,4517,non si può tenere così un hotel nel centro di Napoli.,Negativa
733,1304,"Sistemazione confortevole e silenziosa, ottima e abbondante colazione, personale gentile e disponibile.",Positiva
734,3222,Ambiente comodo e accogliente.,Positiva
735,3620,Ottima posizione tra stazione ferroviaria e centro raggiungibile entrambi in pochi minuti,Positiva
736,6346,La camera piccola e abbastanza angusta  Di pulito c'era ben poco e non era sicuramente una camera adatta a un letto matrimoniale  Non c era il telecomando della televisione e gli infissi erano tutti rotti  Bagno e doccia non pulitissimi.,Negativa
737,830,Cortesia e disponibilità....eeee si i cornetti erano buoni assai...,Positiva
738,1381,"Provata successivamente altra stanza, che era silenziosa",Positiva
739,2528,"Sicuramente  150 a notte per la stanza, in un palazzo antico senza ascensore e , soprattutto visto che direttamente offrono la stessa stanza a molto meno, non e' un prezzo corretto.",Negativa
740,4173,"l'arredamento è un po' antiquato e il bagno un po' piccolino, ma tutto estremamente pulito.",Negativa
741,3925,Lo staff gentile e disponibile,Positiva
742,7170,Nonostante avessi una prenotazione mi hanno poi mandato nell'albergo difronte perché  avevano avuto un problema .,Negativa
743,6254,4 euro per una cola in lattina mi sembra eccessivo,Negativa
744,7279,Personale molto disponibile e gentile nonostante l'orario di arrivo in nottata non era molto consono al check in.,Positiva
745,6970,"Delusissimo,abbiamo prenotato e pagato una camera Vista Mare,mah non l'ho era per nulla,viaggiando spesso e vedendo molte strutture,le aspettative erano alte,Sconsigliato",Negativa
746,7930,Staff gentile e disponibile.,Positiva
747,4262,La colazione potrebbe essere migliorata come qualità e varietà delle materie prime,Negativa
748,7534,"Hotel appena ristrutturato, comodissimo alla fiera.",Positiva
749,512,camera superior deludente è assolutamente non da 4 stelle,Negativa
750,5538,Wifi funzionava male è pessima copertura di rete,Negativa
751,3697,struttura moderna e funzionale....colazione buona e molta scelta......positivo il poter soggiornare con il nostro cane......rispecchia il livello dei 4 stelle Best Western.,Positiva
752,8419,La posizione è perfetta per raggiungere in pochi passi il cuore pulsante del centro storico  di BOLOGNA.,Positiva
753,1170,peli nel bagno polvere sul pavimento.,Negativa
754,4921,Cortesia e disponibilità dello staff,Positiva
755,5037,Colazione povera e dozzinale,Negativa
756,1198,C'era un caldo soffocante e non è stato possibile attivare il raffrescamento.,Negativa
757,531,Convenzione a prezzi interessanti con parcheggio custodito distante 3 minuti a piedi.,Positiva
758,1077,Ottimo rapporto qualità prezzo,Positiva
759,809,Quindi per me non un buon rapporto qualità prezzo,Negativa
760,1314,Non amo le stanze con finestra sostanzialmente  cieca  che rende la camera buia.,Negativa
761,5827,"Bella la posizione, vicina al centro e alla stazione.",Positiva
762,1860,Segnale Wi fi di buona qualità.,Positiva
763,3311,Poco insonorizzata la stanza,Negativa
764,4371,La posizione in cui era situata la struttura molto vicina alla Stazione Centrale e a poche fermate di metro dal Duomo,Positiva
765,4460,"la colazione e' molto curata, con frutta fresca anche il pomeriggio, a disposizione",Positiva
766,3021,"vicinanza al centro, colazione abbondante, qualità prezzo ottima.",Positiva
767,177,Era una cosa da chiamare Ufficio Igiene subito.,Negativa
768,5542,"La sporcizia e non funzionava niente di niente,la cameriera che pulisce mentre ti stai gestendo,senza nemmeno spazzare dava lo straccio....ma che schifo le foto sono della camera come l ho trovata,non l avevano mai pulita.",Negativa
769,1101,Buon punto di partenza per camminate verso il centro storico che il lungomare.,Positiva
770,1676,"Colazione abbondante, parcheggio perché necessario trovandoci al centro del Vomero",Positiva
771,1917,Ottima la pastiera trovata in camera.,Positiva
772,7869,"Il sistema di riscaldamento nella nostra camera era troppo rumoroso appena si azionava, e la notte si faceva fatica a dormire, penso che una struttura del genere debba provvedere a rimediare un sistema di riscaldamento meno rumoroso   Mentre per il parcheggio è stato un po  difficoltoso dato che per entrarci è un po  strettino, se non si sta bene attenti si rischia di rigare la macchina facilmente",Negativa
773,211,"La posizione strategica  a ridosso della tangenziale,la  camera spaziosa e silenziosa.",Positiva
774,2470,Impossibile far colazione prima delle sette,Negativa
775,8012,"La posizione è davvero strategica con  tutto a portata di mano, comodo  il buon  ristorante bistrot a pochi metri.",Positiva
776,2982,"La posizione, lo stile dell'albergo, i servizi, le dotazioni della stanza ed i set di cortesia, tra i più completi mai riscontrati, la colazione",Positiva
777,6335,"Atmosfera distensiva, silenziosa e tranquilla",Positiva
778,4742,Camera confortevole e pulita in una struttura moderna e con servizi all'altezza.,Positiva
779,6518,"Pochi stalli per parcheggiare gratuitamente all'esterno dell'albergo, porta del bagno cigolante.",Negativa
780,8713,Da un hotel 4 stelle mi aspetto che sia verificato il funzionamento di tutte le apparecchiature in particolare  dell'aria condizionata.,Negativa
781,4910,la colazione potrebbe essere migliorata sostituendo per esempio il pane in cassetta con quello fresco e mettendo più frutta,Negativa
782,2860,Il primo impatto... l'ingresso in uno stabile fatiscente,Negativa
783,4230,"Letto scomodo, cuscini scomodi, wc del bagno perdeva, pessimo odore in stanza.",Negativa
784,1853,La colazione davanti al mare,Positiva
785,4115,"Il Wi Fi non funzionava e il ragazzo dell hotel per accendere e spegnere il modem ha aperto una porticina dove vi erano una serie di fili elettrici, sicuramente non in sicurezza.",Negativa
786,2429,Veramente un hotel eccellente in tutto per quanto riguarda camere e colazione.,Positiva
787,5016,Per colazione era servito un ottimo affettato,Positiva
788,7197,Controllare meglio la dotazione dei bagni mancava il rotolo di carta igienica di riserva,Negativa
789,2289,la posizione e la camera dentro non male.,Positiva
790,7399,Tutto in ordine e Molto pulito.,Positiva
791,1348,Un po' vecchiotto per essere un 4 stelle,Negativa
792,7122,Il water non era pulito a dovere.,Negativa
793,8324,Colazione ok Letto ok,Positiva
794,7983,Struttura vecchia da ristrutturare,Negativa
795,2692,"Abbiamo pernottato in una camera che faceva da angolo all'edificio, e forse per questo motivo era davvero molto spaziosa.",Positiva
796,2708,La scrivania occupata dal bollitore elettrico e dalle tisane.,Negativa
797,8230,"La zona è tranquilla, non in centro città che è comunque raggiungibile con auto o mezzi pubblici.",Positiva
798,739,"Stanza molto bella, grande e pulita",Positiva
799,447,"chi lavora in reception è Come se non ci fosse ...ci hanno assegnato un appartamento che si trovava di fronte il palazzo dell'albergo  ...iniziamo con il descrivere l'incubo ...appartamento situato in un palazzo di gente straniera  tipo case occupate , palazzo fatiscente con portone inesitente, finestre rotte, bagno putrido, la sporcizia ci usciva dalle Orecchie, asciugamani e biancheria del Letto praticamente sudice.",Negativa
800,284,Colazione e vista splendida,Positiva
801,953,Al check out alla richiesta di avere un taxi mi è stato risposto di uscire e cercarlo per strada.,Negativa
802,2623,Buona location soprattutto considerato il prezzo.,Positiva
803,5243,"La posizione e la caratteristica dell'hotel, ricavato da un vecchio  bordello  anni 50.",Positiva
804,7225,"La camera all'arrivo era troppo calda e il meccanismo di regolazione raggiunge il regime troppo lentamente  alla fine lo abbiamo spento , nonostante il riscaldamento spento la camera di notte è rimasta un pò troppo calda  a peggiorare la cosa vi è l'impossibilità di aprire la finestra  bisogna avvisare ,in modo che vengono con la chiave .",Negativa
805,3889,"La prima volta che stavo sul letto ed è successo sono saltato in piedi poi mi sono accorto di quello che succedeva, ma è impossibile abituarsi a quella sensazione di tremolio ogni 5 minuti",Negativa
806,2146,Prezzo alto per avere una stanza con affaccio sul retro delle scale e una piccola finestrella.,Negativa
807,3910,Struttura  con un livello di confort e pulizia ottimi .,Positiva
808,510,"La sala da colazione al 7piano, con annesso un terrazzino vista mare davvero bello",Positiva
809,308,la camera che ci hanno dato è posizionata affianco ai locali caldaia che sono molto rumorosi,Negativa
810,2548,La vista mozzafiato dalla terrazza,Positiva
811,2343,"Camera bella, luminosa e pulita",Positiva
812,18,"Accoglienza gentile, professionale, disponibili.",Positiva
813,4216,Ora l'Hotel è occupato solo da ragazzi di colore  per i quali nutro il massimo rispetto  che non credo siano lì per turismo.,Negativa
814,908,"Posizione strategica, pulito ed accogliente.",Positiva
815,5684,Hotel comodo ai musei ecc.,Positiva
816,340,Sala della colazione con vista favolosa e qualita  del cibo,Positiva
817,3917,Inoltre è situato in pieno centro e quindi di facile accesso ai punti d'interesse.,Positiva
818,4833,"Reputo meritate le stelle , ed il prezzo che secondo me è buono e coerente con il servizio.",Positiva
819,346,"Consiglio di curare maggiormente alcuni dettagli, nel complesso è stato  un buon soggiorno.",Negativa
820,1656,Doccia non funzionante e vaso del bagno scomodo perchè adiacente alla doccia e privo di copertura.,Negativa
821,7409,Vicino al centro e stazione metro,Positiva
822,6406,L'assurda pretesa di ricevere massimo alle 18.30 gli ospiti.,Negativa
823,3270,Cambio quotidiano della biancheria.,Positiva
824,1465,Mancanza di box doccia,Negativa
825,3718,Ottima posizione e cordialità del personale,Positiva
826,6423,"la palestra a disposizione, il buffet colazione buono, le camere pulite",Positiva
827,1015,Il bagno  senza box doccia con una vasca scomoda e non chiusa.,Negativa
828,5644,Abbiamo soggiornato in una camera interna molto tranquilla.,Positiva
829,2736,brutta esperienza anche per qualche cameriera non onesta del piano che di sicuro si è trattenuto un libro che per la fretta avevo dimenticato in camera.,Negativa
830,4021,Ci vorrebbe shampoo e bagno schiuma per 2 quando la prenotazione è per 2.,Negativa
831,45,"Ottima posizione, buona e abbondante  colazione e ottimi luoghi comuni, la gentilezza del personale e delle cameriere dei piani.",Positiva
832,4276,"Ottima la posizione a pochi passi dalla linea metropolitana, la facciata del Palazzo, la vicinanza all'ottima pasticceria Augustus per la colazione.",Positiva
833,7542,"Buon Hotel, personale gentile e disponibile.",Positiva
834,3575,posizione ottima e struttura molto bella,Positiva
835,6385,Il posteggio privato e carissimo,Negativa
836,3645,Nonostante l'essenzialità che ci si aspetta da un hotel non superstellato ho avuto la grande sorpresa di trovare un hotel molto confortevole pur nella sua semplicità.,Positiva
837,3825,"Per il pagamento accettano solo contanti, no carte di credito o prepagate.",Negativa
838,8651,Ottima posizione  una menzione particolare per uno degli operatori alla reception che ci ha  supportato con consigli e suggerimenti sui molti gioielli napoletani da visitare,Positiva
839,7474,Colazione esaustiva con vasta scelta di alimenti Letti super spaziosi e comodi,Positiva
840,8278,Staff cordiale e disponibile.,Positiva
841,7394,mancava una saponetta per il bidet.,Negativa
842,6308,Ottima accoglienza prezzo qualità ottimo,Positiva
843,7548,"La posizione centralissima, ma leggermente defilata  l'atmosfera piacevole degli interni  la facilità di parcheggio  ne esiste uno multipiano interrato a 2 passi 2   la gentilezza dello staff.",Positiva
844,7364,"Posizione, vicina alla stazione dei treni",Positiva
845,6948,x alcuni aspetti un po vecchiotta e pulizia un po scarsa,Negativa
846,4342,Ottima colazione ottima locazione logistica,Positiva
847,8037,"Tutto il resto, dalla colazione alla comodità del letto e scarsa insonorizzazione è da evitare",Negativa
848,5095,"A colazione pochi sorrisi del personale, mancanza di proposta vegetariana vegana.",Negativa
849,3471,"Disponibilità del personale, ambienti curati e puliti, buonissima colazione e posizione vicinissima a metro e stazione",Positiva
850,6739,"Nella nostra stanza  60  la wi fi funzionava a intervalli irregolari  essendo un viaggio di lavoro ne avevo bisogno, ma comunque non è mai stata così debole da impedirmi di lavorare.",Negativa
851,2628,"In generale poco chiare e trasparenti le informazioni   anche se, pagando, si è risolto tutto.",Negativa
852,8262,staff molto cortese e disponibile,Positiva
853,3220,Frigo bar poco assortito così come le bustine tisane  solo un tea ed una camomilla .,Negativa
854,2197,Divani della hall con cuscini indecenti,Negativa
855,44,Straordinaria posizione  vicino alle principali attrazioni dell'area storica greco romana e la metropolitana Università.,Positiva
856,2848,La cameriere del ristorante era sgarbata e poco empatica.,Negativa
857,6049,Una tenda per la doccia non guasterebbe,Negativa
858,2198,vista non eccezionale  Finestra sul MC Donald .,Negativa
859,4470,"Personale cordiale e disponibile, posizione perfetta per visitare il centro a piedi.",Positiva
860,4489,"Le camere non sono pulite  le lenzuola del letto avevano macchie ovunque , i bagni di male in peggio... tutti i bagni sono condivisi, anche se prendete una stanza matrimoniale.",Negativa
861,3514,"Posizione vicinissima al centro, prezzo contenuto, gentilezza dello staff",Positiva
862,5717,Vista su Castel dell'Ovo ed il Lungomare è chiuso al traffico  salvo taxi e biciclette .,Positiva
863,2123,Ottimo rapporto prezzo   qualità,Positiva
864,4381,"Ottima posizione, esattamente in centro, stazione fs raggiungibile a piedi.",Positiva
865,3906,Un solo ascensore per scendere alla parte bassa inoltre anche un po lento,Negativa
866,2714,"Albergo vecchio e datato, avevamo richiesto una culla x il bimbo, non ci e' stata data, rotolo di cartaigienica all'arrivo, gia' iniziato e quasi finito, nel frigobar c'era una bottiglia d'acqua aperta e a meta', cuscini troppo sottili, balcone bruttissimo e in brutto stato, piscina all'ultimo piano brutta.",Negativa
867,1517,Posizionato benissimo rispetto al centro della città,Positiva
868,1604,La camera ed il bagno erano abbastanza puliti.,Positiva
869,3544,Temperatura elevata della stanza  noi non siamo riusciti a regolarla dal termostato ma sicuramente chiedendo in reception è possibile farlo,Negativa
870,6637,"cordialità e cortesia  da parte del personale, ottima posizione.",Positiva
871,3902,"E la stanza necessiterebbe di alcuni interventi di cura, rifinizione e riverniciatura.",Negativa
872,5187,La posizione centrale del hotel,Positiva
873,2081,"Solito piumone, ormai male nazionale, come l'inglese, e della medesima origone.",Negativa
874,1719,"ottima posizione, personale cortese e disponibile, comodo garage",Positiva
875,1872,"Personale disponibile, gentile efficiente",Positiva
876,2354,La colazione non da una 4 stelle S,Negativa
877,8591,"Poca pulizia, box doccia con muffa, alle 14 al secondo giorno di permanenza la stanza non era ancora stata fatta, colazione imbarazzante.",Negativa
878,7118,"Posizione ideale, per il centro e zona porto.",Positiva
879,1629,Non ho gradito la vista della camera che affacciava all'interno del cortile.,Negativa
880,7003,carenza nei trasporti pubblici,Negativa
881,4241,"Migliorare l'insonorizzazione delle camere, soprattutto per il rumore delle tubature",Negativa
882,4412,Il personale di sala e alla reception è cordiale e disponibile.,Positiva
883,3983,Il wi fi  ha funzionato poco e male.,Negativa
884,8566,Il panorama visto dalla piscina.,Positiva
885,3344,"Posizione perfetta, personale gentile, pulizia ottima",Positiva
886,5498,Metterei qualche bicchiere a disposizione e qualche gruccia per pantaloni,Negativa
887,304,Innanzitutto ho apprezzato la gentilezza del personale  non appena arrivata mi hanno subito messa a mio agio.,Positiva
888,2840,"Stanza ben arredata, grande e confortevole, completa di tutto   cassaforte, frigorifero, phon, kit di benvenuto  .",Positiva
889,4758,"la posizione è perfetta, vicina a stazione e centrale.",Positiva
890,1010,I succhi di frutta imbevibili,Negativa
891,5631,cordialità e simpatia del personale,Positiva
892,7267,"La camera è molto spaziosa, ampio letto e divanetto a due posti.",Positiva
893,4444,La tv fuori uso.,Negativa
894,1208,in pieno centro storico.,Positiva
895,2448,"Struttura nuova , accogliente e con tutti i confort  wi fi",Positiva
896,4370,"Edificio antico tutto sporco e diroccato, stanza al terzo piano senza ascensore, ci hanno dato una stanza con 2 letti matrimoniali e uno singolo ed eravamo solamente in due.",Negativa
897,5230,"Vicinanza all'autostrada, pulizia e comfort, buona colazione",Positiva
898,6257,Appartamento da film horror Niente asciugamani  Coperte puzzolenti,Negativa
899,7021,Il Garage sotterraneo un po' trascurato,Negativa
900,7625,Il posto è molto pulito e confortevole.,Positiva
901,5320,"pavimento rotto, pareti sporche  forse di sangue",Negativa
902,5442,Bagno con sgradevole puzza di fogna,Negativa
903,4523,a colazione i cornetti sono riempiti al momento con una crema buonissima,Positiva
904,2131,"Posizione, pulizia e servizi",Positiva
905,6072,Il filtro dell acqua del lavandino completamente otturato dal calcare e la qualità dei detergenti a livello di un ostello.,Negativa
906,4138,Mi è piaciuto praticamente tutto.,Positiva
907,7182,"il parcheggio , ti fanno pagare 25 euro al giorno e hanno solo due posti macchina",Negativa
908,778,La logistica dell'hotel lascia a desiderare ... per raggiungere le camere bisogna prendere un ascensore a cui si accede fuori dalla hall lento e non confortevole.,Negativa
909,4614,Colazione molto ricca e buona.,Positiva
910,3661,camera spaziosa e letto matrimoniale comodo.,Positiva
911,3079,Niente tv in camera.,Negativa
912,4817,I letti non sono proprio il massimo ma siamo stati bene,Negativa
913,3376,La posizione dell'hotel e comoda e utile per spostarsi nell'ottica di visitare l'area archeologica ed il museo di Capodimonte.,Positiva
914,1356,"la colazione non è granché, ma comunque sufficiente",Negativa
915,241,"Colazione abbondante, ottima posizione rispetto al centro, parcheggio un po' caro ma indispensabile",Positiva
916,4140,un po' difficile da trovare dall'esterno,Negativa
917,5240,Ascensore un po' usurato,Negativa
918,7281,Mai più una struttura simile,Negativa
919,7941,La posizione interna rende le camere silenziose.,Positiva
920,4520,"Vicino trovate anche il giardino botanico, ingresso gratuito.",Positiva
921,1112,la posizione comoda in quanto di fronte alla stazione ferroviaria.,Positiva
922,1971,Problemi anche di organizzazione da parte dello staff che gestisce l'area colazioni.,Negativa
923,5416,Abbiamo soggiornato per una notte e siamo stati molto bene .,Positiva
924,5033,La posizione e il Panorama di cui si pu  godere dalla finestra della camera.,Positiva
925,1588,Le stanze messe a nuovo da poco ma comunque non sono ben fatte.,Negativa
926,6118,Parcheggio solo a pagamento x 20 euro al giorno,Negativa
927,8068,"Posizione, resta l'hotel di lusso di Bologna",Positiva
928,84,"letto cuscini e copriletto buoni , senza il dannato piumone che c'è altrove.",Positiva
929,7600,"Personale accogliente e discreto, ottima pulizia degli ambienti comuni e delle stanze, che sono confortevoli e decorate simpaticamente.",Positiva
930,8300,La posizione dell hotel è eccellente la colazione e ricca ed abbondante,Positiva
931,4207,Le camere non hanno soddisfatto le mie aspettative...sono vecchie,Negativa
932,8386,"Bagno senza doccia, schiamazzi fino a notte inoltrata.",Negativa
933,1787,"Personale scortese, abbiamo avuto un problema con la carta di credito durante il check out e siamo stati trattati come dei ladri, un signore dello staff ha iniziato ad alzare la voce e alla mia richiesta di uscire fuori dall'hotel per prelevare ha cercato di opporsi dicendo che non c'erano i soldi e basta  cosa che poi si è rivelata non vera .",Negativa
934,4017,"Ottima la pulizia e la cortesia dello staff, posizione buona sia per raggiungere il centro della città che la stazione  colazione ricca e varia, con cornetti di vario genere e bombe alle crema.",Positiva
935,3057,"Il palazzo, come quasi tutti quelli di Napoli, è sicuramente di vecchia costruzione e necessiterebbe di ristrutturazione in alcune parti.",Negativa
936,8480,A disposizione una cucina con occorrente,Positiva
937,1695,Comodissimo per chi arriva in treno.,Positiva
938,1939,"Buona la posizione vicino alla stazione centrale, camere sufficientemente confortevoli",Positiva
939,887,"Posizione centrale, rapporto qualità prezzo della camera proporzionato.",Positiva
940,6364,"Ottima posizione , stuff molto bravo ,cordiale e disponibile",Positiva
941,752,"La temperatura del locali colazione un po troppo fredda, ma forse è una cosa rara a Napoli.",Negativa
942,2609,"Dalla camera al livello superiore si sente tutto  passi, voce e scarico  delle acqua doccia e water in diretta come se fosse in camera.",Negativa
943,1728,"Camere pulite e silenziose, spaziose.",Positiva
944,458,4 stelle S garantiscono una attenzione elevata al cliente.,Positiva
945,4360,Colazione ottima e abbondante .,Positiva
946,7955,"Le camere erano troppo piccole, per nulla insonorizzate e non si  riusciva ad aprire neanche la valigia.",Negativa
947,165,Nel bagno c'era un segno di una perdita.,Negativa
948,1011,"L'hotel si trova poco fuori dal centro di Bologna,facilmente raggiungibile con la macchina.",Positiva
949,5529,"La stanza carina, non molto grande.",Positiva
950,3355,Struttura un po vecchia,Negativa
951,3743,"Cordialità da parte dello staff, pulizia e ordine.",Positiva
952,2087,inoltre la cosa peggiore é  la mancanza di silenzio perche dai corridoi si sente tutto e c è  abbastanza caciara se non si ha la fortuna di avere ospiti silenziosi,Negativa
953,2713,Lo staff impegnato nella colazione molto gentile e disponibile.,Positiva
954,1828,croissant buoni  materasso comodo,Positiva
955,2639,"Il Servizio alla reception ,l'ultima volta pur se davanti a me non c'era nessuno per andar via ho dovuto aspettare circa 15 minuti, la persona che mi ha servito non conosceva bene l'italiano ed aveva poca dimestichezza con il sistema informatico non trovando i miei dati per la fatturazione",Negativa
956,199,La camera non era molto insonorizzata,Negativa
957,7712,"Io e il mio fidanzato abbiamo soggiornato una notte in questo hotel, che a primo impatto non è niente male, bella vista e bel giardino appena si arriva e comodo parcheggio gratuito.",Positiva
958,5008,Ho pagato più di 100  per una notte in cui non ho chiuso occhio perché c'era un rumore.,Negativa
959,7758,"Hotel situato in un antico palazzo di via Chiaia, con caratteristica scala che si affaccia su un piccolo cortile interno.",Positiva
960,6086,"Alle due e trenta di notte il citofono suonava in continuazione e il portiere di notte dormiva oppure era assente, al punto che sono dovuto andare in pigiama ad aprire il portone esterno ad alcuni clienti, che peraltro, scambiandomi per uno del personale, hanno inveito contro di me per l'attesa fuori di circa quaranta minuti.",Negativa
961,1579,Ottima la colazione tanta roba buona e tanta pulizia.,Positiva
962,5075,Mancavano i topi  Una cantina adibita a dormitorio.,Negativa
963,4346,Personale disponibile,Positiva
964,1741,Ottima colazione con vastissima scelta sia di dolce che di salato.,Positiva
965,7753,La struttura è ormai piuttosto datata.,Negativa
966,246,La disponibilità della reception a stampare i voucher,Positiva
967,719,"Ho alloggiato in una struttura esterna da quella riportata sul sito, locale fatiscente, con i cassonetti della spazzatura nel portone, bagno talmente piccolo che poteva entrarci solo un anoressico, colazione prevista al bar cinese situato all'angolo della strada  e neanche ho mangiato x lo schifo .",Negativa
968,2399,Da potenziare il segnale wi fi.,Negativa
969,206,La cordialità del proprietario e del resto dello staff.,Positiva
970,8287,"Mancanza servizio sky,scarico lavabo otturato",Negativa
971,2658,Posizione eccellente per visitare la città.,Positiva
972,8598,"Stanze piccolissime e bagni piccoli, mal funzionanti, senza asciugacapelli, scarsa manutenzione generale.",Negativa
973,7583,Posizione molto buona con buona disponibilita' di parcheggio.,Positiva
974,3874,"Rubinetteria del bagno vecchia, ossidata.",Negativa
975,4378,"Le camere sono a posto, il prezzo è basso",Positiva
976,8424,"Lo staff è molto gentile, ci è stato fatto un upgrade al check in, molto apprezzato.",Positiva
977,6821,"Posizione perfetta, staff cordiale.",Positiva
978,3371,Colazione carente e affollata.,Negativa
979,5764,la colazione era molto ricca e varia,Positiva
980,8478,Colazione ricca e molto buona.,Positiva
981,8440,"Colazione buona, staff cortese e preparato camera pulita",Positiva
982,8554,La gentilezza e l'alta professionalità del cameriere Zac.,Positiva
983,1018,"Belle camere, ottima colazione , bell'ambienre circostante con tanto di piscina all'aperto  .",Positiva
984,1880,"Bella stanza, tranquilla, pulizia impeccabile, ottima colazione e cortesia del personale.",Positiva
985,5197,"WiFi gratuito non funzionante, sarebbe meglio dare l'opzione a pagamento ma almeno avere una linea veloce.",Negativa
986,4246,il personale molto disponibile e la posizione ottima.,Positiva
987,4080,Cibo di scarsa qualità mancanza di prese di corrente in bagno e camera vicino alla testa xdel letto mancanza di pantofole da bagno,Negativa
988,3666,Moquette a terra vecchia e visibilmente macchiata.,Negativa
989,2270,"Lo scarico del bidet non funzionava, era intasato.",Negativa
990,2414,"Bagno maleodorante che ha infestato tutta la stanza, scarico del wc difettoso  bisognava scaricare con una specie di doccia  tant'è che si è intasato dopo poche ore.",Negativa
991,5986,E' molto utile la presenza della palestra.,Positiva
992,520,Hotel da 1 stella...non meritata.,Negativa
993,5639,Chi fornisce i cornetti alla struttura no. Troppe scale interne per raggiungere l'ascensore.,Negativa
994,3013,"Neanche una coperta nella stanza, letto con sole lenzuola... camera fredda",Negativa
995,6688,L'albergo non ci ha segnalato la cosa e ora attendiamo di sapere se arriverà la sanzione.,Negativa
996,505,"Camera piccolissima, condizionatore  limitato  a 22 gradi in una giornata in cui la temperatura esterna era inferiore a 10 gradi con fortissima umidità, peraltro neanche funzionante durante la notte, e nessuno a cui chiedere aiuto.",Negativa
997,417,Pessimo lo staff e pessimi i servizi ed accoglienza.,Negativa
998,3842,Ambiente per la colazione un po' piccolo e buio,Negativa
999,1553,"Colazione pover, camera piccola",Negativa
1000,7077,Lo staff é molto gentile.,Positiva
1001,6809,disponibilità dello staff anche per lasciare le valige.,Positiva
1002,3660,"La posizione, la colazione molto buona  le uova erano cotte veramente bene  il letto comodo e pure il cuscino che puoi sceglire",Positiva
1003,7784,Vicino stazione e circumvesuviana e metro,Positiva
1004,150,Il check out posticipato di appena un'ora al costo di un'intera notte supplementare.,Negativa
1005,3592,"L'hotel è in una posizione ottima per visitare Napoli,  e vicinissima anche a uno dei poli universitari    coloratissimo e,  nonostante lo spazio in camera non è ampissimo c'è posto per tutto.",Positiva
1006,145,Un plauso anche al servizio in camera  i pasti vengono consegnati caldi e presentati bene  a differenza di altre strutture .,Positiva
1007,6595,la centralità dell'hotel rispetto alle attrattive visitabili,Positiva
1008,2278,"Umida,letti non fatti, acqua dalla doccia fredda la mattina,voci nel cortile fino a notte inoltrata",Negativa
1009,8602,C'erano diversi cattivi odori probabilmente imputabili ai lavori di ristrutturazione,Negativa
1010,3507,Struttura che necessita restyling nella camera.,Negativa
1011,882,Personale che non conosce l'italiano  e nemmeno l'Italia .,Negativa
1012,7370,E' per la prim volta nella vita mia   ho viaggiato tanto  che ho trovato una struttura cosi  pesissima.,Negativa
1013,4120,"La posizione è scomodissima, il nome dell'Hotel si confonde con un altro Hotel Palazzo Decumani e non è conosciuta la via in cui è ubicato.",Negativa
1014,3513,Tutto in generale è perfetto,Positiva
1015,2576,Il sig Gabriele è il punto forte di questo hotel sempre disponibile e comunque qualità prezzo ottima,Positiva
1016,2140,arredamento non all'altezza della struttura e del prezzo i cuscini scomodi il parcheggio convenzionato carissimo,Negativa
1017,2985,Negozi bar e ristoranti a pochi metri.,Positiva
1018,478,Ho raggiunto il centro di Bologna in poco più di 20 min a piedi.,Positiva
1019,196,"Posizione eccezionale per servizi,centro e porto.",Positiva
1020,6706,"La posizione, d'altra parte lo sapevo già.",Negativa
1021,7537,Segnale wifi poco potente,Negativa
1022,1416,"Sono rimasta particolarmente soddisfatta dalla colazione, abbondante, varia e di qualità, in collaborazione con Eataly.",Positiva
1023,4920,E' davvero inconsueto che un Hotel di questo livello si faccia pagare extra la colazione per chi alloggia in una camera Superior.,Negativa
1024,5231,"Pulizia carente, colazione mediocre",Negativa
1025,8095,"Stanza piccolissima, non avevo quasi neanche lo spazio per aprire la valigia Stanza divisa dal bagno da una tenda, quest'ultimo davvero troppo piccolo tanto che era difficile anche solo entrarci.",Negativa
1026,1599,La colazione è ricca e di assoluta soddisfazione,Positiva
1027,6516,Posizione ideale per partecipare a qualche fiera.,Positiva
1028,5598,"Ottima colazione a buffet, personale della colazione cortese e disponibile",Positiva
1029,4864,"rumoroso molto rumoroso, non è possibile vendere delle camere con una pessima acustica soprattutto se si trovano sopra una sala ricevimento dove vi è stata musica e canti fino a notte fonda.",Negativa
1030,1816,"La posizione perfetta, il tutto ad un prezzo molto ragionevole.",Positiva
1031,5076,La struttura antica nel quale si trova e la posizione centrale.,Negativa
1032,3399,Accoglienza staf e 15 minuti di coda per fare colazione a 114  a notte Truffa,Negativa
1033,3188,"La cucina è a vostra disposizione, un ambiente molto carino.",Positiva
